Id,RouteName,Price,Type,DepartureTime
1,Route1,2000,morning,07:00:00
2,Route2,2400,morning,07:45:00
3,Route3,3000,morning,08:00:00
4,Route4,2400,morning,08:30:00
5,Route5,2400,morning,08:45:00
6,Route6,3200,morning,09:10:00
7,Route7,3000,morning,09:20:00
8,Route8,3200,morning,09:30:00
9,Route9,3100,morning,09:50:00
10,Route10,3250,morning,10:10:00
11,Route11,3400,morning,10:20:00
12,Route12,3100,morning,10:30:00
13,Route13,3000,morning,10:40:00
14,Route14,3100,morning,10:50:00
15,Route15,3500,morning,11:15:00
16,Route16,2000,evening,16:00:00
17,Route17,2200,evening,16:10:00
18,Route18,2400,evening,16:30:00
19,Route19,3000,evening,16:50:00
20,Route20,3200,evening,17:05:00
21,Route21,3000,evening,17:20:00
22,Route22,3100,evening,17:30:00
23,Route23,3200,evening,17:50:00
24,Route24,2300,evening,18:10:00
25,Route25,2800,evening,18:20:00
26,Route26,3100,evening,18:30:00
27,Route27,4000,evening,18:50:00
28,Route28,4200,evening,19:00:00
29,Route29,4200,evening,19:30:00
30,Route30,4200,evening,20:00:00
